"","participant_private_id","a","sf"
"1",1599988,947.43099999996,1459.0619999999
"2",1599991,2405.86849999963,2226.29250000027
"3",1599992,3126.38749999969,3435.27500000018
"4",1599993,1105.4,1102.7
"5",1599995,20580.3819999972,5620.65649999422
"6",1599996,5765.79000000056,4675.53000000044
"7",1599998,2319.72999999707,3152.16000000073
"8",1600000,3427.04000000085,3471.61999999662
"9",1600001,1405.09099999945,1773.7589999997
"10",1600002,934.7,1919.4
"11",1600004,1474.09999999909,1543.99999999987
"12",1600005,3551.40000000047,5966.80000000033
"13",1600006,3812.8,3972.8
"14",1600007,1031.36850000592,1243.45649999741
"15",1600008,2442.43550000538,2354.90750000463
"16",1600010,1620.37750000018,1676.9110000052
"17",1600011,1124.88249999988,1590.11700000028
"18",1600013,857.89550000336,826.584499992896
"19",1600014,1608.84749999968,3222.56799999741
"20",1600015,2349.45849998621,2255.18349999329
"21",1600016,2099.1,1981.3
"22",1600018,1632.7505000052,1953.17049998557
"23",1600020,1378.4,10643.8
"24",1600021,2764.11699998425,2353.46699999645
"25",1600022,1359.64450000029,1166.46350000083
"26",1600023,1230.9,1383.3
"27",1600024,1197.85850001499,1292.896499997
"28",1600025,1781.32700000424,2525.13950001448
"29",1600026,1424.50909093234,1159.43999999436
"30",1600027,1400.27999999984,680.950000000121
"31",1600028,2384.89500000142,2156.02000000654
"32",1600029,1938.45199999632,2152.15250003384
"33",1600030,1856.78399999451,2642.63750001264
"34",1600031,1318.78050001105,1948.80949999206
"35",1600032,5194.10000000498,4259.79999999399
"36",1600033,2380.35249999957,4965.67350000842
"37",1600034,1619.76000000068,1644.43000000028
"38",1600035,1936.16099999854,2159.40349999946
"39",1600036,6154.70450000003,8593.41550000002
"40",1600037,3526.13999999885,1365.58999999834
"41",1600038,1293.14549998962,1595.06750000874
"42",1600039,3060.88900001487,3069.38749999972
"43",1600040,1172.3,1410.5
"44",1600041,2551.63300000058,2448.96000000153
"45",1600042,1501.9,1973.1
"46",1600043,2867.80850000214,3031.18850000319
"47",1600044,2114.66999999975,6774.51000000001
"48",1600045,1495.2500000014,1946.13900000404
"49",1600046,1154.61400000204,1696.79599999508
"50",1600047,1167.10700000112,1097.49549999688
"51",1600048,5851.54500000644,6144.63649999816
"52",1600049,1497.49549999979,1586.72650000008
"53",1600050,3225.12850000057,2961.90400000487
"54",1600051,1064,1336.4
"55",1600052,665.3,1072
"56",1600053,1549.45,2545.28
"57",1600054,21582.6665000059,2942.10800000001
"58",1600055,4835.52999999883,5128.21000000258
"59",1600056,1254.20099998591,1911.15800001426
"60",1600058,9165.18300000171,7975.29150000482
"61",1600059,2284.08600000839,3485.4095000017
"62",1600060,2035.1695000194,2395.17200002447
"63",1600061,3220.7,2734
"64",1600062,2276.8,3013.3
"65",1600063,1210.9000000004,1256.30850000016
"66",1600064,3449.06650000485,3683.72300000628
"67",1600065,5804.89499999676,3721.84450000641
"68",1600066,5585.69850000786,5992.21800001105
"69",1600067,934.830000000147,891.567000000214
"70",1600068,1354.448,1616.7055
"71",1600070,879.5,758.3
"72",1600071,8026.41299999996,8565.29700000028
"73",1600072,1509.66899999985,1548.42600000002
"74",1600074,2343.15749999996,2601.79099999987
"75",1600075,4203.981,2121.319
"76",1600076,3178.52550000534,3426.72150000581
"77",1600077,2506.49999999969,2314.30000000037
"78",1600079,2004.87000001594,1558.03000000305
"79",1600080,937.757499996223,1265.35149999545
"80",1600081,1761.98200000003,1345.27749999993
"81",1600082,1997.20649999872,1850.0119999997
"82",1600086,1660.02500000177,2080.47250000091
"83",1600088,2083.3,2388
"84",1600091,2482.15450000716,2738.63249999704
"85",1600093,3404.20199986547,4172.0969999209
"86",1600102,5063.3,6076.6
"87",1600108,6445.1,6841.3
"88",1600111,2070.52900000126,2085.29049999779
"89",1600120,1383.99100002134,1446.9805000117
"90",1600123,940.948000001663,1029.46700000175
"91",1600126,1581.99649999951,1771.0319999991
"92",1604223,2606.49000000049,2528.99000000034
"93",1604226,1576.6,1595.1
"94",1604232,1629.80550003704,2392.80350003392
"95",1604237,1954.80000000007,2246.47850000001
"96",1604250,1699.53250000181,1734.83599999963
"97",1604275,3249.93899999972,3050.10600000023
"98",1604306,1738.7,1408.7
"99",1604307,2774.31649999926,4241.97000000859
"100",1604310,2256.5525,2195.97450000001
"101",1604315,4607.57600000015,4516.93100000011
"102",1604320,5226.47750002798,2731.23149999883
"103",1604326,1771.84349998133,2009.72249999177
"104",1604329,1518.63049999997,1838.36749999996
"105",1604331,1496.9310000015,2890.28450000915
"106",1604337,1376.80349999864,1407.70400000038
"107",1604338,1808.34550000436,2005.79150000412
"108",1604341,1526.07799999987,2528.22149999993
"109",1604348,3400.1385,1945.0875
"110",1604351,1727.3,1452.3
"111",1604356,1553.14500000095,2085.01149999793
"112",1604357,1161.24250000576,1324.10049999307
"113",1604359,1427.45700000014,1655.52199999947
"114",1604360,1034.414500001,1149.52700000431
"115",1604364,2663.34200003184,2974.80750001268
"116",1604365,2368.6,2625.9
